x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,5.991082836748e-04,3.754547587091e-03,1.051284138337e-02,2.060097283836e-02,3.405488687389e-02,5.087210383723e-02,7.105277629122e-02,9.459688657067e-02,1.215044547604e-01,1.517754607487e-01
0.002,5.958141211349e-04,3.683092204719e-03,1.018538475864e-02,1.970483099960e-02,3.215635748497e-02,4.741683472132e-02,6.536761457693e-02,8.589144468666e-02,1.088727058801e-01,1.341973412823e-01
0.004,5.925290400981e-04,3.612323362280e-03,9.863109709665e-03,1.882862137768e-02,3.031230104845e-02,4.408314800894e-02,5.991968642308e-02,7.760661736236e-02,9.693509293395e-02,1.177026615583e-01
0.006,5.892530409150e-04,3.542241143113e-03,9.546018007949e-03,1.797235685844e-02,2.852277378398e-02,4.087122452884e-02,5.470946673209e-02,6.974348366848e-02,8.569381503590e-02,1.022955386271e-01
0.008,5.859861241656e-04,3.472845682268e-03,9.234112468446e-03,1.713605748154e-02,2.678786112455e-02,3.778133230045e-02,4.973764061056e-02,6.230355515360e-02,7.515185512470e-02,8.798136288408e-02
0.010,5.827282906548e-04,3.404137163238e-03,8.927396833697e-03,1.631974923913e-02,2.510767085686e-02,3.481379906758e-02,4.500501649208e-02,5.528854358018e-02,6.531243257098e-02,7.476562856742e-02
0.012,5.794795414093e-04,3.336115814722e-03,8.625875659865e-03,1.552346290277e-02,2.348232647466e-02,3.196898590237e-02,4.051244337378e-02,4.870014172967e-02,5.617849178461e-02,6.265285302122e-02
0.014,5.762398776731e-04,3.268781907428e-03,8.329554204688e-03,1.474723287897e-02,2.191196074792e-02,2.924726189944e-02,3.626073226807e-02,4.253981767882e-02,4.775222815105e-02,5.164558853310e-02
0.016,5.730093009042e-04,3.202135750897e-03,8.038438317358e-03,1.399109609353e-02,2.039670951137e-02,2.664897998428e-02,3.225058198822e-02,3.680862300837e-02,4.003465278924e-02,4.174353093145e-02
0.018,5.697878127703e-04,3.136177690370e-03,7.752534330338e-03,1.325509090514e-02,1.893670567619e-02,2.417445386280e-02,2.848250939880e-02,3.150701544187e-02,3.302519770039e-02,3.294272921272e-02
0.020,5.665754151450e-04,3.070908103682e-03,7.471848953134e-03,1.253925604851e-02,1.753207346930e-02,2.182393614131e-02,2.495678426953e-02,2.663469642675e-02,2.672136287229e-02,2.523490029567e-02
0.022,5.633721101044e-04,3.006327398184e-03,7.196389168030e-03,1.184362960753e-02,1.618292290504e-02,1.959759764759e-02,2.167336887424e-02,2.219046416477e-02,2.111840682480e-02,1.860685259169e-02
0.024,5.601778999227e-04,2.942436007710e-03,6.926162127823e-03,1.116824801894e-02,1.488934449394e-02,1.749550798449e-02,1.863186247570e-02,1.817208257475e-02,1.620908193636e-02,1.304002146608e-02
0.026,5.569927870689e-04,2.879234389564e-03,6.661175055548e-03,1.051314510696e-02,1.365140419392e-02,1.551761734775e-02,1.583145083217e-02,1.457616662994e-02,1.198341568522e-02,8.510118872536e-03
0.028,5.538167742029e-04,2.816723021546e-03,6.401435146252e-03,9.878351149305e-03,1.246913860898e-02,1.366373963891e-02,1.327086085288e-02,1.139808445584e-02,8.428538681065e-03,4.986898500028e-03
0.030,5.506498641712e-04,2.754902399013e-03,6.146949470797e-03,9.263891975341e-03,1.134255044062e-02,1.193353690346e-02,1.094832051814e-02,8.631876504888e-03,5.528560058627e-03,2.434036706671e-03
0.032,5.474920600041e-04,2.693773031968e-03,5.897724881753e-03,8.669788096634e-03,1.027160419706e-02,1.032650512211e-02,8.861524164662e-03,6.270192041984e-03,3.264490464469e-03,8.091283570427e-04
0.034,5.443433649109e-04,2.633335442184e-03,5.653767921375e-03,8.096053870653e-03,9.256222165459e-03,8.841961381434e-03,7.007603219458e-03,4.304243083012e-03,1.614212496353e-03,6.379545657658e-05
0.036,5.412037822771e-04,2.573590160366e-03,5.415084731712e-03,7.542696698055e-03,8.296280651728e-03,7.479032446976e-03,5.383102445251e-03,2.723775827145e-03,5.524980611888e-04,1.439052164562e-04
0.038,5.380733156598e-04,2.514537723338e-03,5.181680966850e-03,7.009716254128e-03,7.391606492724e-03,6.236644759039e-03,3.983961738758e-03,1.517059515872e-03,5.107170843880e-05,9.898929123313e-04
0.040,5.349519687848e-04,2.456178671272e-03,4.953561707340e-03,6.497103754927e-03,6.541973844958e-03,5.113515867623e-03,2.805503498876e-03,6.708925382202e-04,7.871857895029e-05,2.537183646220e-03
0.042,5.318397455421e-04,2.398513544947e-03,4.730731376815e-03,6.004841258610e-03,5.747101253819e-03,4.108147319179e-03,1.842425556557e-03,1.706254845102e-04,6.014351914023e-04,4.716705908169e-03
0.044,5.287366499828e-04,2.341542883044e-03,4.513193660832e-03,5.532901002496e-03,5.006649006772e-03,3.218819003561e-03,1.088799631399e-03,2.007317235586e-07,1.582620876730e-03,7.455488686122e-03
0.046,5.256426863151e-04,2.285267219473e-03,4.300951427968e-03,5.081244776319e-03,4.320216773613e-03,2.443584965014e-03,5.380752523996e-04,1.422080238194e-04,2.983307271586e-03,1.067733281090e-02
0.048,5.225578589009e-04,2.229687080740e-03,4.094006653189e-03,4.649823332152e-03,3.687341536310e-03,1.780270676269e-03,1.830890520592e-04,5.779553915553e-04,4.762422901324e-03,1.430354626804e-02
0.050,5.194821722515e-04,2.174802983339e-03,3.892360343526e-03,4.238575831435e-03,3.107495810477e-03,1.226471769847e-03,1.607931443158e-05,1.287554640116e-03,6.877089526902e-03,1.825373237728e-02
0.052,5.164156310249e-04,2.120615431194e-03,3.696012466074e-03,3.847429329513e-03,2.580086159895e-03,7.795542155397e-04,2.870562906150e-05,2.250020520506e-03,9.282946603942e-03,2.244661904947e-02
0.054,5.133582400212e-04,2.067124913122e-03,3.504961878355e-03,3.476298298067e-03,2.104452004958e-03,4.366559277434e-04,2.120734742973e-04,3.443382593568e-03,1.193449991072e-02,2.680091679204e-02
0.056,5.103100041796e-04,2.014331900337e-03,3.319206261047e-03,3.125084185766e-03,1.679864725222e-03,1.946897810115e-04,5.567635255005e-04,4.844808694950e-03,1.478549014953e-02,3.123619275885e-02
0.058,5.072709285747e-04,1.962236843996e-03,3.138742053135e-03,2.793675017459e-03,1.305527055648e-03,5.034800678299e-05,1.052865456437e-03,6.430738816456e-03,1.778927711633e-02,3.567374793599e-02
0.060,5.042410184123e-04,1.910840172772e-03,2.963564389478e-03,2.481945032150e-03,9.805727753896e-04,1.079388483191e-07,1.690015975883e-03,8.177028135173e-03,2.089923487025e-02,4.003748452597e-02
0.062,5.012202790268e-04,1.860142290467e-03,2.793667040834e-03,2.189754359981e-03,7.040666873321e-04,4.023906975158e-05,2.457440816446e-03,1.005909784742e-02,2.406915321949e-02,4.425475074255e-02
0.064,4.982087158767e-04,1.810143573664e-03,2.629042356358e-03,1.916948738397e-03,4.750048858615e-04,1.668113750259e-04,3.344000368992e-03,1.205209240088e-02,2.725364077604e-02,4.825715055428e-02
0.066,4.952063345415e-04,1.760844369409e-03,2.469681208601e-03,1.663359267612e-03,2.923153096194e-04,3.757048569609e-04,4.338238634127e-03,1.413104166594e-02,3.040852481890e-02,5.198130641582e-02
0.068,4.922131407181e-04,1.712244992941e-03,2.315572941025e-03,1.428802205451e-03,1.548585752939e-04,6.626202545378e-04,5.428435142063e-03,1.627102654691e-02,3.349124324546e-02,5.536956369401e-02
0.070,4.892291402169e-04,1.664345725450e-03,2.166705318051e-03,1.213078801588e-03,6.142908775798e-05,1.023090861275e-03,6.602659474072e-03,1.844734650601e-02,3.646122398268e-02,5.837062632291e-02
0.072,4.862543389589e-04,1.617146811872e-03,2.023064477677e-03,1.015975171153e-03,1.075642114542e-05,1.452495388032e-03,7.848828002808e-03,2.063568745790e-02,3.928024737369e-02,6.094011419774e-02
0.074,4.832887429714e-04,1.570648458734e-03,1.884634886651e-03,8.372622076288e-04,1.506964732589e-06,1.946071803346e-03,9.154762455153e-03,2.281228849096e-02,4.191278724928e-02,6.304103392785e-02
0.076,4.803323583852e-04,1.524850832022e-03,1.751399298253e-03,6.766955348756e-04,3.228582677791e-05,2.498932079685e-03,1.050824989001e-02,2.495410588255e-02,4.432632663623e-02,6.464415579834e-02
0.078,4.773851914305e-04,1.479754055095e-03,1.623338712673e-03,5.340154981162e-04,1.016389887674e-04,3.106077770050e-03,1.189710367485e-02,2.703897290044e-02,4.649164434241e-02,6.572829112226e-02
0.080,4.744472484338e-04,1.435358206641e-03,1.500432340006e-03,4.089471936046e-04,2.080557018226e-04,3.762416335768e-03,1.330922503866e-02,2.904575392011e-02,4.838306898957e-02,6.628046558106e-02
0.082,4.715185358142e-04,1.391663318661e-03,1.382657565885e-03,3.012005366764e-04,3.499711163510e-04,4.462778143013e-03,1.473266477580e-02,3.095449143817e-02,4.997869743432e-02,6.629598563002e-02
0.084,4.685990600801e-04,1.348669374507e-03,1.269989919751e-03,2.104703678091e-04,5.257691353654e-04,5.201934042649e-03,1.615568467421e-02,3.274654462514e-02,5.126057492250e-02,6.577839656800e-02
0.086,4.656888278256e-04,1.306376306944e-03,1.162403045777e-03,1.364365962617e-04,7.337854812610e-04,5.974613445456e-03,1.756681824404e-02,3.440471813569e-02,5.221483475764e-02,6.473933241395e-02
0.088,4.627878457269e-04,1.264783996261e-03,1.059868676443e-03,7.876438080693e-05,9.723109652325e-04,6.775522802579e-03,1.895493032706e-02,3.591337998050e-02,5.283179572438e-02,6.319825927560e-02
0.090,4.598961205393e-04,1.223892268421e-03,9.623566087847e-04,3.710434700854e-05,1.239594947929e-03,7.599364399285e-03,2.030927517522e-02,3.725856736090e-02,5.310601598914e-02,6.118211541556e-02
0.092,4.570136590935e-04,1.183700893250e-03,8.698346833044e-04,1.109284043838e-05,1.533848979394e-03,8.440855368726e-03,2.161955259669e-02,3.842807947361e-02,5.303630269612e-02,5.872485269595e-02
0.094,4.541404682920e-04,1.144209582664e-03,7.822687655503e-04,3.522151694482e-07,1.853250605813e-03,9.294746831486e-03,2.287596178078e-02,3.941155640839e-02,5.262567698178e-02,5.586688549306e-02
0.096,4.512765551062e-04,1.105417988938e-03,6.996227303703e-04,4.491156823114e-06,2.195947330112e-03,1.015584306614e-02,2.406925242841e-02,4.020054338465e-02,5.188129463994e-02,5.265445449840e-02
0.098,4.484219265726e-04,1.067325703020e-03,6.218584488328e-04,2.310503939205e-05,2.560060712989e-03,1.101902061597e-02,2.519077283294e-02,4.078853970260e-02,5.081432317593e-02,4.913891404293e-02
0.100,4.455765897894e-04,1.029932252880e-03,5.489357778136e-04,5.577631500355e-05,2.943690600559e-03,1.187924723741e-02,2.623251457624e-02,4.117103192045e-02,4.943977648675e-02,4.537595267984e-02
0.102,4.427405519135e-04,9.932371019007e-04,4.808125522431e-04,1.020749357330e-04,3.344919464412e-03,1.273160059644e-02,2.718715352736e-02,4.134551090867e-02,4.777630888887e-02,4.142475772216e-02
0.104,4.399138201568e-04,9.572396473152e-04,4.174445800077e-04,1.615588065226e-04,3.761816839558e-03,1.357128662050e-02,2.804808685600e-02,4.131147257581e-02,4.584597068108e-02,3.734713524098e-02
0.106,4.370964017831e-04,9.219392186802e-04,3.587856394949e-04,2.337742682080e-04,4.192443845438e-03,1.439365741514e-02,2.880946579909e-02,4.107040220498e-02,4.367392787024e-02,3.320659767658e-02
0.108,4.342883041045e-04,8.873350763938e-04,3.047874797719e-04,3.182566096035e-04,4.634857774950e-03,1.519422865663e-02,2.946622394726e-02,4.062574248608e-02,4.128814909962e-02,2.906743168864e-02
0.110,4.314895344785e-04,8.534264102551e-04,2.553998233852e-04,4.145306075456e-04,5.087116736209e-03,1.596869637433e-02,3.001410084775e-02,3.998284547375e-02,3.871906319607e-02,2.499375916698e-02
0.112,4.287001003041e-04,8.202123380653e-04,2.105703717643e-04,5.221110937489e-04,5.547284331650e-03,1.671295303948e-02,3.044966075152e-02,3.914890884398e-02,3.599919109091e-02,2.104860443537e-02
0.114,4.259200090192e-04,7.876919042719e-04,1.702448132151e-04,6.405035472777e-04,6.013434358933e-03,1.742310288044e-02,3.077030636446e-02,3.813289696224e-02,3.316275616494e-02,1.729298060720e-02
0.116,4.231492680969e-04,7.558640786550e-04,1.343668334814e-04,7.692047113958e-04,6.483655518086e-03,1.809547634801e-02,3.097428749615e-02,3.694544741142e-02,3.024527731818e-02,1.378500779398e-02
0.118,4.203878850421e-04,7.247277550562e-04,1.028781288547e-04,9.077032335107e-04,6.956056109280e-03,1.872664365850e-02,3.106070453339e-02,3.559876375757e-02,2.728314926556e-02,1.057907542865e-02
0.120,4.176358673888e-04,6.942817501509e-04,7.571842180927e-05,1.055480326891e-03,7.428768705694e-03,1.931342734674e-02,3.102950670053e-02,3.410649545416e-02,2.431321471020e-02,7.725060352699e-03
0.122,4.148932226963e-04,6.645248022629e-04,5.282547913652e-05,1.212010452796e-03,7.899954785990e-03,1.985291376578e-02,3.088148510303e-02,3.248360590088e-02,2.137233314260e-02,5.267611537028e-03
0.124,4.121599585464e-04,6.354555702227e-04,3.413513255208e-05,1.376762021615e-03,8.367809311068e-03,2.034246347506e-02,3.061826058590e-02,3.074622977887e-02,1.849695105720e-02,3.245511372630e-03
0.126,4.094360825399e-04,6.070726322684e-04,1.958130174604e-05,1.549198111592e-03,8.830565229943e-03,2.077972046428e-02,3.024226647304e-02,2.891152088037e-02,1.572267836662e-02,1.691122391676e-03
0.128,4.067216022934e-04,5.793744849912e-04,9.096019845160e-06,1.728777203675e-03,9.286497899821e-03,2.116262016550e-02,2.975672628790e-02,2.699749173649e-02,1.308387572753e-02,6.299270778254e-04
0.130,4.040165254365e-04,5.523595423227e-04,2.609461253765e-06,1.914953930981e-03,9.733929405705e-03,2.148939621197e-02,2.916562658934e-02,2.502284642033e-02,1.061325737296e-02,8.016711347092e-05
0.132,4.013208596081e-04,5.260261345674e-04,4.997183804952e-08,2.107179841385e-03,1.017123276523e-02,2.175858590811e-02,2.847368508936e-02,2.300680796479e-02,8.341513873762e-03,5.258700981480e-05
0.134,3.986346124536e-04,5.003725074779e-04,1.344101416529e-06,2.304904171674e-03,1.059683600472e-02,2.196903438115e-02,2.768631425089e-02,2.096894188320e-02,6.296959029781e-03,5.502855931182e-04
0.136,3.959577916217e-04,4.753968213747e-04,6.416638517440e-06,2.507574631708e-03,1.100922609297e-02,2.211989739129e-02,2.680958059422e-02,1.892897731678e-02,4.505204820902e-03,1.568677298053e-03
0.138,3.932904047612e-04,4.510971503087e-04,1.519064736194e-05,2.714638197014e-03,1.140695271961e-02,2.221064278365e-02,2.585015996944e-02,1.690662735542e-02,2.988868033356e-03,3.095563668462e-03
0.140,3.906324595179e-04,4.274714812689e-04,2.758750703003e-05,2.925541908215e-03,1.178863190540e-02,2.224105057170e-02,2.481528907932e-02,1.492141008683e-02,1.767311820194e-03,5.111313909056e-03
0.142,3.879839635315e-04,4.045177134337e-04,4.352695276433e-05,3.139733675688e-03,1.215294943255e-02,2.221121164846e-02,2.371271356228e-02,1.299247192390e-02,8.564250614600e-04,7.589151790763e-03
0.144,3.853449244325e-04,3.822336574655e-04,6.292711936481e-05,3.356663087837e-03,1.249866408337e-02,2.212152512835e-02,2.255063296839e-02,1.113841474162e-02,2.684419633059e-04,1.049554470957e-02
0.146,3.827153498393e-04,3.606170348508e-04,8.570458662593e-05,3.575782221357e-03,1.282461067648e-02,2.197269432899e-02,2.133764298207e-02,9.377128321927e-03,1.180388117576e-05,1.379068925506e-02
0.148,3.800952473546e-04,3.396654772830e-04,1.117744267658e-04,3.796546451867e-03,1.312970289032e-02,2.176572140887e-02,2.008267526412e-02,7.725629559673e-03,9.106487531232e-05,1.742908628094e-02
0.150,3.774846245633e-04,3.193765260906e-04,1.410502537953e-04,4.018415263291e-03,1.341293586439e-02,2.150190068330e-02,1.879493530148e-02,6.199909823909e-03,5.068420126751e-04,2.136019720560e-02
0.152,3.748834890285e-04,2.997476317083e-04,1.734442747726e-04,4.240853054356e-03,1.367338856936e-02,2.118281064710e-02,1.748383866701e-02,4.814791797844e-03,1.255810923497e-03,2.552917212292e-02
0.154,3.722918482891e-04,2.807761531936e-04,2.088673428894e-04,4.463329940603e-03,1.391022593789e-02,2.081030473913e-02,1.615894610227e-02,3.583797038075e-03,2.330746608930e-03,2.987763929018e-02
0.156,3.697097098563e-04,2.624593577865e-04,2.472290123290e-04,4.685322550294e-03,1.412270074895e-02,2.038650088931e-02,1.482989784452e-02,2.519025399876e-03,3.720608984354e-03,3.434454469401e-02
0.158,3.671370812114e-04,2.447944205135e-04,2.884375948396e-04,4.906314812628e-03,1.431015525886e-02,1.991376989513e-02,1.350634762453e-02,1.631047371405e-03,5.410672136772e-03,3.886702968974e-02
0.160,3.645739698018e-04,2.277784238364e-04,3.324002179625e-04,5.125798736686e-03,1.447202257350e-02,1.939472267968e-02,1.219789676418e-02,9.288102464424e-04,7.382695780079e-03,4.338133417472e-02
0.162,3.620203830390e-04,2.114083573439e-04,3.790228848519e-04,5.343275179540e-03,1.460782775657e-02,1.883219648929e-02,1.091402880269e-02,4.195589437544e-04,9.615136914468e-03,4.782371239888e-02
0.164,3.594763282949e-04,1.956811174886e-04,4.282105356241e-04,5.558254601988e-03,1.471718866996e-02,1.822924009327e-02,9.664045076857e-03,1.087721524890e-04,1.208339924129e-02,5.213134834212e-02
0.166,3.569418128995e-04,1.805935073666e-04,4.798671101727e-04,5.770257810402e-03,1.479981654293e-02,1.758909805369e-02,8.457001674939e-03,1.143482369730e-07,1.476011745752e-02,5.624325759943e-02
0.168,3.544168441373e-04,1.661422365417e-04,5.338956123812e-04,5.978816683196e-03,1.485551626769e-02,1.691519413713e-02,7.301648174711e-03,9.540408477575e-05,1.761547315942e-02,6.010116291223e-02
0.170,3.519014292452e-04,1.523239209134e-04,5.901981756686e-04,6.183474880454e-03,1.488418641996e-02,1.621111394468e-02,6.206368564881e-03,3.945988232635e-04,2.061753872749e-02,6.365033086385e-02
0.172,3.493955754088e-04,1.391350826279e-04,6.486761297975e-04,6.383788535292e-03,1.488581900390e-02,1.548058684041e-02,5.179124734694e-03,8.957964150464e-04,2.373264524876e-02,6.684035781409e-02
0.174,3.468992897603e-04,1.265721500332e-04,7.092300688774e-04,6.579326925568e-03,1.486049892159e-02,1.472746726151e-02,4.227402899801e-03,1.595253207574e-03,2.692577026069e-02,6.962589387462e-02
0.176,3.444125793750e-04,1.146314576774e-04,7.717599204899e-04,6.769673124572e-03,1.480840316834e-02,1.395571549671e-02,3.358163313240e-03,2.487418596488e-03,3.016094087793e-02,7.196729461193e-02
0.178,3.419354512689e-04,1.033092463503e-04,8.361650158670e-04,6.954424629401e-03,1.472979975569e-02,1.316937802204e-02,2.577793588768e-03,3.564985702038e-03,3.340164768953e-02,7.383119119683e-02
0.180,3.394679123955e-04,9.260166316802e-05,9.023441610476e-04,7.133193965730e-03,1.462504636524e-02,1.237256748502e-02,1.892065940036e-03,4.818957705931e-03,3.661126469408e-02,7.519097088298e-02
0.182,3.370099696434e-04,8.250476170068e-05,9.701957089408e-04,7.305609267767e-03,1.449458873680e-02,1.156944243033e-02,1.306098613324e-03,6.238729246674e-03,3.975347047303e-02,7.602716097598e-02
0.184,3.345616298332e-04,7.301450214265e-05,1.039617632220e-03,7.471314832214e-03,1.433895879569e-02,1.076418686116e-02,8.243217638834e-04,7.812182138821e-03,4.279266579047e-02,7.632771083047e-02
0.186,3.321228997149e-04,6.412675152568e-05,1.110507596973e-03,7.629971645098e-03,1.415877252458e-02,9.960989731310e-03,4.504479966483e-04,9.525794555296e-03,4.569438284976e-02,7.608816786626e-02
0.188,3.296937859651e-04,5.583728397420e-05,1.182763037036e-03,7.781257880403e-03,1.395472758605e-02,9.164024463611e-03,1.874477612592e-04,1.136476269336e-02,4.842568153450e-02,7.531174510461e-02
0.190,3.272742951840e-04,4.814178100290e-05,1.256281228925e-03,7.924869369491e-03,1.372760070314e-02,8.377428589887e-03,3.752975929864e-05,1.331313383486e-02,5.095552811081e-02,7.400927927163e-02
0.192,3.248644338931e-04,4.103583185620e-05,1.330959367305e-03,8.060520040326e-03,1.347824480552e-02,7.605283607534e-03,2.126488505776e-06,1.535394961096e-02,5.325515206936e-02,7.219908007461e-02
0.194,3.224642085323e-04,3.451493388951e-05,1.406694640900e-03,8.187942325624e-03,1.320758595008e-02,6.851595146535e-03,8.188501478035e-05,1.746939819198e-02,5.529837703584e-02,6.990667280714e-02
0.196,3.200736254569e-04,2.857449299193e-05,1.483384308779e-03,8.306887539056e-03,1.291662002514e-02,6.120273539422e-03,2.766630282121e-04,1.964097404421e-02,5.706192197543e-02,6.716443795839e-02
0.198,3.176926909355e-04,2.320982405018e-05,1.560925776942e-03,8.417126218736e-03,1.260640924838e-02,5.415114884838e-03,5.855302044191e-04,2.184964382931e-02,5.852566925643e-02,6.401115296849e-02
0.200,3.153214111470e-04,1.841615145349e-05,1.639216675108e-03,8.518448437272e-03,1.227807846911e-02,4.739782693016e-03,1.006774857375e-03,2.407601696791e-02,5.967289651674e-02,6.049144266544e-02
0.202,3.129597921778e-04,1.418860963916e-05,1.718154933658e-03,8.610664077713e-03,1.193281128639e-02,4.097790198822e-03,1.537915834884e-03,2.630051934837e-02,6.049046969049e-02,5.665514621923e-02
0.204,3.106078400194e-04,1.052224367848e-05,1.797638860621e-03,8.693603074816e-03,1.157184599459e-02,3.492483424839e-03,2.175719573171e-03,2.850356863418e-02,6.096899499553e-02,5.255660963754e-02
0.206,3.082655605658e-04,7.412009902709e-06,1.877567218653e-03,8.767115621096e-03,1.119647136926e-02,2.927025073493e-03,2.916222192889e-03,3.066574960997e-02,6.110292815086e-02,4.825391388719e-02
0.208,3.059329596108e-04,4.852776568895e-06,1.957839301906e-03,8.831072337213e-03,1.080802230596e-02,2.404379323293e-03,3.754756485486e-03,3.276798800631e-02,6.089063958143e-02,4.380804964204e-02
0.210,3.036100428456e-04,2.839324564998e-06,2.038355012733e-03,8.885364406303e-03,1.040787532574e-02,1.927297600011e-03,4.685983606494e-03,3.479172125724e-02,6.033443486941e-02,3.928205041781e-02
0.212,3.012968158557e-04,1.366348154179e-06,2.119014938125e-03,8.929903671942e-03,9.997443961102e-03,1.498305389052e-03,5.703929261138e-03,3.671906467239e-02,5.944053022237e-02,3.474009644610e-02
0.214,2.989932841191e-04,4.284557577927e-07,2.199720425821e-03,8.964622699488e-03,9.578174036716e-03,1.119690150322e-03,6.802024137940e-03,3.853297154664e-02,5.821898324121e-02,3.024660205671e-02
0.216,2.966994530033e-04,2.017077675186e-08,2.280373660010e-03,8.989474800636e-03,9.151538859563e-03,7.934903917200e-04,7.973148317861e-03,4.021738578432e-02,5.668357978084e-02,2.586529957141e-02
0.218,2.944153277628e-04,1.359324508791e-07,2.360877736539e-03,9.004434021071e-03,8.719034333420e-03,5.214859519025e-04,9.209679360237e-03,4.175738568192e-02,5.485167819758e-02,2.165833276178e-02
0.220,2.921409135366e-04,7.700967558657e-07,2.441136737556e-03,9.009495091192e-03,8.282174012881e-03,3.051895372529e-04,1.050354374242e-02,4.313931759202e-02,5.274401276261e-02,1.768537278729e-02
0.222,2.898762153461e-04,1.916937337433e-06,2.521055805517e-03,9.004673339945e-03,7.842484112288e-03,1.458395520509e-04,1.184627130787e-02,4.435091828130e-02,5.038445848700e-02,1.400276920925e-02
0.224,2.876212380921e-04,3.570646482288e-06,2.600541216472e-03,8.990004571873e-03,7.401498485114e-03,4.439425473031e-05,1.322905235761e-02,4.538142489610e-02,4.779976004359e-02,1.066274817655e-02
0.226,2.853759865527e-04,5.725336125452e-06,2.679500452557e-03,8.965544907565e-03,6.960753589440e-03,1.527266829707e-06,1.464279700237e-02,4.622167155936e-02,4.501922788012e-02,7.712669207203e-03
0.228,2.831404653807e-04,8.375038893525e-06,2.757842273627e-03,8.931370587753e-03,6.521783455206e-03,1.762445483985e-05,1.607819637799e-02,4.686417174142e-02,4.207440499250e-02,5.194351155021e-03
0.230,2.809146791012e-04,1.151370918345e-05,2.835476787943e-03,8.887577741388e-03,6.086114668943e-03,9.278219864926e-05,1.752578531428e-02,4.730318567399e-02,3.899870816115e-02,3.143476965613e-03
0.232,2.786986321095e-04,1.513522427633e-05,2.912315521853e-03,8.834282118079e-03,5.655261391617e-03,2.268070537219e-04,1.897600603807e-02,4.753477220927e-02,3.582704774459e-02,1.589085703574e-03
0.234,2.764923286681e-04,1.923338548576e-05,2.988271488383e-03,8.771618785355e-03,5.230720425149e-03,4.192168075378e-04,2.041927248431e-02,4.755682466467e-02,3.259543036889e-02,5.531590901383e-04
0.236,2.742957729052e-04,2.380191934037e-05,3.063259254684e-03,8.699741791291e-03,4.813966343001e-03,6.692429242197e-04,2.184603478529e-02,4.736909033553e-02,2.934054904641e-02,5.030844468176e-05
0.238,2.721089688114e-04,2.883447879985e-05,3.137195008250e-03,8.618823793089e-03,4.406446700033e-03,9.758343646930e-04,2.324684350691e-02,4.697317350389e-02,2.609936540043e-02,8.756649366655e-05
0.240,2.699319202382e-04,3.432464450420e-05,3.209996621847e-03,8.529055652265e-03,4.009577336596e-03,1.337662763201e-03,2.461241320278e-02,4.637252191738e-02,2.290868876236e-02,6.642870174488e-04
0.242,2.677646308951e-04,4.026592605546e-05,3.281583717088e-03,8.430645997198e-03,3.624737791526e-03,1.753128934574e-03,2.593368486154e-02,4.557239685960e-02,1.980475694357e-02,1.772153769754e-03
0.244,2.656071043479e-04,4.665176333169e-05,3.351877726583e-03,8.323820753803e-03,3.253266838356e-03,2.220370680340e-03,2.720188683034e-02,4.457982707874e-02,1.682282346458e-02,3.395298548744e-03
0.246,2.634593440158e-04,5.347552783236e-05,3.420801954605e-03,8.208822645202e-03,2.896458158708e-03,2.737271855606e-03,2.840859380757e-02,4.340354698488e-02,1.399675595116e-02,5.510526744340e-03
